"Country","Diptheria","BMI","Alcohol","Adult.Mortality","HepB","HIV","infant_mortality","HALE_Birth","percent.expenditure","Polio","thinness.5.19.years","total.expenditure"
"Kyrgyzstan",96,25.9,6.18,175,96,0,20.9,63.7,7.14,95,3.3,2.75
"Lao People's Democratic Republic",83,22.5,6.74,201,83,0.6,43.83,59.3,2.74,83,9,0.68
"Latvia",92,27.2,10.6,159,92,0,4.64,65.8,8.38,92,2.2,3.26
"Lebanon",83,27.3,1.18,99,80,0,7.37,65.7,12.39,81,4.8,3.57
"Lesotho",88,24.3,2.75,495,88,25.6,71.9,41.6,9.85,88,6,4.93
"Liberia",63,23.9,3.02,310,63,3,66.04,52.5,2.51,62,6.8,0.83
"Libya",94,27.7,0.01,137,94,0,11.81,64.3,17.57,94,5.6,7.51
"Lithuania",93,26.9,14.9,167,94,0,4.02,65.3,11.88,93,2.7,4.12
"Luxembourg",99,26.7,11.42,55,94,0,2.26,71.5,10.85,99,0.9,4.58
"Madagascar",68,21.2,0.87,225,68,0.2,42.34,56.3,13.92,71,7.3,1.75
"Malawi",91,22.7,2.01,279,91,8.1,39.15,54.9,8.58,87,6.5,2.21
"Malaysia",97,25.4,0.54,128,96,0,6.84,65.8,7.82,97,7.7,2.03
"Maldives",99,24.7,1.3,57,99,0,4.82333333333333,69.1,14.62,99,13.7,4.9
"Mali",66,22.7,0.61,281,66,2.2,68.68,53,4.45,62,8,0.89
"Malta",99,27.7,7.14,53,90,0,5.76,71.3,14.01,99,0.8,5.6
"Mauritania",81,24.5,0,206,81,0.8,56.18,58.9,5.24,81,8,1.25
"Mauritius",97,25.3,3.06,148,97,0,12.93,64,10.53,98,7,2.48
"Mexico",87,27.7,3.94,129,84,0,14.41,65.8,10.35,87,1.5,2.89
"Micronesia (Federated States of)",77,29,1.51,167,81,0,24.91,55.8,6.16,76,0.2,3.34
"Mongolia",99,25.8,9.88,215,99,0,17.41,59.9,7.38,99,2.2,2.37
"Montenegro",91,26.7,8.55,103,87,0,3.71,66.6,10.98,91,1.8,4.86
"Morocco",99,25.7,0.41,72,99,0,21.34,63.3,6.55,99,6.3,2.15
"Mozambique",88,22.5,1.08,387,88,17.8,63.04,48.6,4.28,88,3.6,1.74
"Myanmar",88,22.5,1.36,200,88,0.4,4.82333333333333,59.6,4.47,88,13,1.06
"Namibia",88,23.7,2.59,286,88,9.2,33.98,54.6,9.29,88,9,3.88
"Nepal",92,22.1,0.24,160,92,0.2,4.82333333333333,60.2,5.27,92,16.2,0.87
"Netherlands",96,26.1,8.38,59,94,0,3.47,71.1,15.59,96,0.9,7.15
"New Zealand",93,28.1,8.98,67,93,0,4.7,69.9,19.46,93,0.3,7.28
"Nicaragua",98,26.7,3.54,150,98,0,17.27,65.2,16.91,99,1.8,4.16
"Niger",81,21.7,0.12,258,81,0.4,53.35,54.1,5.4,79,10,1.28
"Nigeria",43,22.9,4.45,361,43,4.7,80.1,53.1,3.34,40,10.3,0.45
"Norway",93,27,6.06,57,80.3333333333333,0,2.29,71.2,17.23,93,0.7,7.97
"Oman",99,25.9,0.42,100,99,0,9.66,63.7,6.69,99,7,3.17
"Pakistan",69,23.6,0.04,167,69,0.2,63.78,55.8,3.48,69,19.7,0.7
"Panama",80,26.7,6.3,111,80,0,15.07,68.3,18.55,80,1.9,4.32
"Papua New Guinea",52,25.6,1.35,228,57,1.8,41.18,56.4,7.47,43,1.3,2.02
"Paraguay",93,26.2,5.39,147,93,0.2,19.57,65.6,17.6,93,2,3.17
"Peru",88,26.3,5.51,127,88,0.2,12.71,68.8,13.11,78,1.1,2.96
"Philippines",63,23,4.61,197,63,0,23.65,61.9,7.3,77,9.9,1.26
"Poland",98,27,10.45,115,96,0,4.32,68,10.48,94,2,4.47
"Portugal",98,26.3,10.2,77,98,0,2.97,70.5,11.15,98,0.6,5.77
"Qatar",89,28.9,1.01,64,89,0,6.96,66.4,6.5,99,5,2.1
"Republic of Korea",99,23.8,8.03,66,99,0,3.09,72,12.2,99,1.3,3.71
"Republic of Moldova",90,27.2,7.4,180,92,0,13.74,62.9,12.76,92,2.8,4.26
"Macedonia",95,26.8,3.56,98,97,0,9.86,65.3,12.67,96,2.2,4.02
"Romania",94,27.1,9.48,140,94,0,8.32,66.3,11.23,94,2.7,3.96
"Russian Federation",97,26.6,8.86,214,97,0.2,7.17,62.7,9.16,97,2.3,3.2
"Rwanda",98,22.1,6.5,207,98,1.2,35.69,58.9,7.98,98,5.9,2.18
"Saint Lucia",99,29.6,9.18,145,99,0,18.99,65.2,8.12,99,4.3,1.91
"Saint Vincent and the Grenadines",98,27,7.12,170,98,0,15.73,63.5,8.33,97,3.5,2.68
"Samoa",81,31.7,2.05,115,81,0,16.05,61.9,12.52,78,0.2,4.66
"Sao Tome and Principe",95,24.3,5.63,193,95,0.2,20.15,60.9,7.78,95,5.6,2.37
"Saudi Arabia",98,28.3,0,91,98,0,8.26,63.2,9.28,98,7.6,3.73
"Senegal",89,22.4,0.19,193,89,1.2,36.18,58.2,4.68,85,9.8,1.08
"Serbia",93,26.4,7.19,106,92,0,5.68,66.4,12.02,93,2.1,5.38
"Seychelles",99,26.7,8.44,168,99,0,12.61,64,9.73,99,5.8,3.29
"Sierra Leone",83,22.6,3.04,446,83,3.9,95.64,49.7,7.58,83,7.7,1.34
"Singapore",96,23.8,1.84,55,96,0,2.21,73.2,13.66,96,2.2,1.74
"Slovakia",97,26.8,10.26,109,97,0,5.23,67.6,12.63,97,1.2,5.47
"Slovenia",95,26.8,10.92,70,80.3333333333333,0,2.19,70,11.79,95,1.4,6
"Solomon Islands",77,26.1,0.95,156,77,0,19.9,57.4,7.49,78,1.1,2.97
"Somalia",42,22.8,0,311,42,0.4,85.9,48.1,16.4633333333333,47,6.7,6.66666666666667
